2024-02-15 22:57:32 status half-installed gpgconf:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status config-files gpgconf:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status not-installed gpgconf:amd64 <none>
2024-02-15 22:57:32 status installed pinentry-curses:amd64 1.1.0-4
2024-02-15 22:57:32 remove pinentry-curses:amd64 1.1.0-4 <none>
2024-02-15 22:57:32 status half-configured pinentry-curses:amd64 1.1.0-4
2024-02-15 22:57:32 status half-installed pinentry-curses:amd64 1.1.0-4
2024-02-15 22:57:32 status config-files pinentry-curses:amd64 1.1.0-4
2024-02-15 22:57:32 status not-installed pinentry-curses:amd64 <none>
2024-02-15 22:57:32 status installed libassuan0:amd64 2.5.3-7.1
2024-02-15 22:57:32 remove libassuan0:amd64 2.5.3-7.1 <none>
2024-02-15 22:57:32 status triggers-pending libc-bin:amd64 2.31-13+deb11u8
2024-02-15 22:57:32 status half-configured libassuan0:amd64 2.5.3-7.1
2024-02-15 22:57:32 status half-installed libassuan0:amd64 2.5.3-7.1
2024-02-15 22:57:32 status config-files libassuan0:amd64 2.5.3-7.1
2024-02-15 22:57:32 status not-installed libassuan0:amd64 <none>
2024-02-15 22:57:32 status installed libatomic1:amd64 10.2.1-6
2024-02-15 22:57:32 remove libatomic1:amd64 10.2.1-6 <none>
2024-02-15 22:57:32 status half-configured libatomic1:amd64 10.2.1-6
2024-02-15 22:57:32 status half-installed libatomic1:amd64 10.2.1-6
2024-02-15 22:57:32 status config-files libatomic1:amd64 10.2.1-6
2024-02-15 22:57:32 status not-installed libatomic1:amd64 <none>
2024-02-15 22:57:32 status installed libcurl4:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:32 remove libcurl4:amd64 7.74.0-1.3+deb11u11 <none>
2024-02-15 22:57:32 status half-configured libcurl4:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:32 status half-installed libcurl4:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:32 status config-files libcurl4:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:32 status not-installed libcurl4:amd64 <none>
2024-02-15 22:57:32 status installed libbrotli1:amd64 1.0.9-2+b2
2024-02-15 22:57:32 remove libbrotli1:amd64 1.0.9-2+b2 <none>
2024-02-15 22:57:32 status half-configured libbrotli1:amd64 1.0.9-2+b2
2024-02-15 22:57:32 status half-installed libbrotli1:amd64 1.0.9-2+b2
2024-02-15 22:57:32 status config-files libbrotli1:amd64 1.0.9-2+b2
2024-02-15 22:57:32 status not-installed libbrotli1:amd64 <none>
2024-02-15 22:57:32 status installed libksba8:amd64 1.5.0-3+deb11u2
2024-02-15 22:57:32 remove libksba8:amd64 1.5.0-3+deb11u2 <none>
2024-02-15 22:57:32 status half-configured libksba8:amd64 1.5.0-3+deb11u2
2024-02-15 22:57:32 status half-installed libksba8:amd64 1.5.0-3+deb11u2
